ProtID,gene
O34526,alaS
P42920,rplC
P51831,fabG
P45740,thiC
P40778,murC
O05252,yufN
P0CI74,gpsB
P80858,leuC
P54576,mcpC
P25993,pyrAA
P20429,rpoA
P02968,hag
P00497,purF
O07631,typA
P53559,bioW
P37812,atpC
Q07836,wapI
P20964,obg
P68729,argB
P40737,yxxD
Q06796,rplK
P37871,rpoC
P08821,hupA
O31501,swrC
P21880,pdhD
P39217,tlpB
P71012,fruA
P25144,ccpA
P71084,gsaB
P37476,ftsH
P94498,cysH
P80698,tig
O30509,gatB
Q45493,rnjA
P54534,yqiW
P39126,icd
P45694,tkt
P07789,cotB
O32162,sufB
P39772,asnS
P06224,sigA
P80885,pyk
P30949,hemL
P49786,accB 
P42974,ahpF
P05653,gyrA
P40871,dhbE
O34889,sdpA
P25994,pyrAB
P54598,yhcN
O06477,yfmS
P23630,lysA
O34806,ytfJ
O34633,yjlC
O34520,hisG
P45743,dhbB
P37945,lon1
P54170,yphP
P21471,rpsJ
O06478,yfmT
Q45495,defB
P39771,purT
P02394,rplL
P24327,prsA
P21478,rpsU
O31709,yknW
O32157,frlB
P71018,plsX
P96614,cshA
P27206,srfAA
P80700,tsf
P46914,cotS
P80871,ywrO
P80643,acpA
P46920,opuAA
P54535,artP
O07622,yhfW
P37869,eno
P26901,katA
Q08787,srfAC
O34656,cotI
P24281,yaaK
O07597,dat
P46915,cotSA
O34981,dapH
O32264,yvcT
P13714,ldh
P25972,pyrE
O07513,hit
O07634,ylaJ
P39773,gpm
P18186,argF
P38493,cmk
O34934,nadK2
P36839,argD
P45744,dhbC
P80239,ahpC
O34654,yodI
O32078,yuaE
O35022,azoR1
O34667,luxS
P42199,tcyA
O34431,yloB
P94463,fmt
P04948,thrB
O31629,yjcG
P81102,yodC
P54617,ydjF
P35137,ppiB
P14949,trxA
O34722,yfmG
P80240,greA
O07542,yheA
C0SP85,yukE
P12049,purS
P08164,nadE
P37554,spoVT
P54983,amhX
O34689,mhqA
P39644,bacG
O34967,rpmE2
O34564,ykuU
O34579,yfkD
O32243,opuCC
O31764,ymfF
P35149,spoIVA
O32062,safA
P94377,katX
P54586,yhcB
O32224,azoR2
P23261,cotF